Player,Pos,Team,Age,Min,Skill / Pot,ETV
Ryan Yates,MF,Nott'ham Forest,27-155,1775.0,72.2 / 74.0,€17.5M
Rúben Dias,DF,Manchester City,27-346,1911.0,86.4 / 86.4,€74.5M
Sam Morsy,MF,Ipswich Town,33-227,2329.0,65.0 / 65.6,€1.3M
Sammie Szmodics,"FW,MF",Ipswich Town,29-213,979.0,61.3 / 61.3,€14.1M
Sander Berge,MF,Fulham,27-070,1972.0,72.4 / 72.7,€27.9M
Sandro Tonali,MF,Newcastle Utd,24-352,2180.0,78.0 / 82.3,€52.1M
Santiago Bueno,DF,Wolves,26-167,1671.0,68.6 / 71.2,€11.3M
Saša Lukić,MF,Fulham,28-255,2034.0,72.1 / 72.1,€12.1M
Sepp van den Berg,DF,Brentford,23-126,2136.0,71.5 / 79.4,€26.4M
Stefan Ortega,GK,Manchester City,32-170,1100.0,61.7 / 61.7,€5.8M
Stephy Mavididi,FW,Leicester City,26-329,1615.0,66.8 / 70.1,€13.2M
Sávio,"FW,MF",Manchester City,21-015,1734.0,77.8 / 91.6,€74.8M
Taylor Harwood-Bellis,DF,Southampton,23-085,2474.0,66.9 / 79.9,€29.9M
Thomas Partey,"MF,DF",Arsenal,31-316,2437.0,77.2 / 77.2,€14.7M
Timothy Castagne,DF,Fulham,29-141,1625.0,75.9 / 75.9,€16.8M
Tomáš Souček,MF,West Ham,30-057,2161.0,75.6 / 75.6,€25.6M
Tosin Adarabioyo,DF,Chelsea,27-213,1229.0,74.1 / 74.1,€24.8M
Toti Gomes,DF,Wolves,26-099,2164.0,70.6 / 72.1,€18.6M
Trent Alexander-Arnold,DF,Liverpool,26-200,2165.0,85.3 / 87.4,€55.4M
Trevoh Chalobah,DF,Crystal Palace,25-294,1060.0,75.2 / 78.8,€20.2M
Tyler Adams,MF,Bournemouth,26-070,1530.0,72.9 / 75.9,€24.5M
Tyler Dibling,"FW,MF",Southampton,19-044,1684.0,53.3 / 81.5,€32M
Tyrick Mitchell,DF,Crystal Palace,25-236,2852.0,80.7 / 83.8,€25.1M
Tyrone Mings,DF,Aston Villa,32-043,1051.0,69.5 / 69.5,€5.7M
Valentino Livramento,DF,Newcastle Utd,22-164,2390.0,73.6 / 84.3,€48.4M
Virgil van Dijk,DF,Liverpool,33-291,2970.0,79.8 / 80.3,€16.6M
Vitaliy Mykolenko,DF,Everton,25-331,2632.0,75.7 / 77.8,€33.5M
Vitaly Janelt,MF,Brentford,26-350,2254.0,77.0 / 77.8,€22.2M
Wes Burns,"FW,DF",Ipswich Town,30-153,926.0,64.4 / 64.4,€2.1M
Wesley Fofana,DF,Chelsea,24-129,1172.0,72.6 / 77.7,€30.4M
Wilfred Ndidi,MF,Leicester City,28-130,1967.0,69.3 / 70.8,€20.4M
Will Hughes,MF,Crystal Palace,30-008,1869.0,72.5 / 72.5,€7.3M
William Saliba,DF,Arsenal,24-032,2814.0,88.9 / 96.7,€79.5M
Wout Faes,DF,Leicester City,27-022,2365.0,67.2 / 70.8,€25.3M
Yankuba Minteh,"FW,MF",Brighton,20-277,1470.0,74.0 / 85.6,€42.6M
Yasin Ayari,MF,Brighton,21-201,1647.0,67.1 / 79.5,€21.5M
Yehor Yarmoliuk,MF,Brentford,21-055,1039.0,65.9 / 75.9,€18M
Yoane Wissa,FW,Brentford,28-234,2470.0,76.7 / 76.7,€31.4M
Youri Tielemans,MF,Aston Villa,27-353,2915.0,79.1 / 79.9,€43.3M
Yukinari Sugawara,"DF,MF",Southampton,24-301,1467.0,65.6 / 72.2,€15.8M
Yves Bissouma,MF,Tottenham,28-238,1210.0,71.4 / 71.7,€30M
Álex Moreno,"DF,MF",Nott'ham Forest,31-321,955.0,68.5 / 69.2,€11.2M
İlkay Gündoğan,MF,Manchester City,34-183,1967.0,81.2 / 81.2,€11M
Łukasz Fabiański,GK,West Ham,40-007,1070.0,64.4 / 64.4,€0.9M
